FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;COMUNA;FECHA(YYYYMMDD)
100930;0;;;8.7;Concepcion;20100930
101001;0;;;12.29;Concepcion;20101001
101002;0;;;12.63;Concepcion;20101002
101003;0;;;16.73;Concepcion;20101003
101004;0;;;16.73;Concepcion;20101004
101005;0;;;17.75;Concepcion;20101005
101006;0;;;19.12;Concepcion;20101006
101007;0;;;15.7;Concepcion;20101007
101008;0;;;20.14;Concepcion;20101008
101009;0;;;0;Concepcion;20101009
101010;0;;;18.77;Concepcion;20101010
101011;0;;;31.06;Concepcion;20101011
101012;0;;;24.07;Concepcion;20101012
101013;0;;;17.24;Concepcion;20101013
101014;0;;;7.50999;Concepcion;20101014
101015;0;;;11.61;Concepcion;20101015
101016;0;;;14;Concepcion;20101016
101017;0;;;14;Concepcion;20101017
101018;0;;;19.46;Concepcion;20101018
101019;0;;;7.851;Concepcion;20101019
101020;0;;;9.56;Concepcion;20101020
101021;0;;;5.462;Concepcion;20101021
101022;0;;;5.12;Concepcion;20101022
101023;0;;;9.56;Concepcion;20101023
101024;0;;;9.89998;Concepcion;20101024
101025;0;;;2.048;Concepcion;20101025
101026;0;;;2.048;Concepcion;20101026
101027;0;;;2.048;Concepcion;20101027
101028;0;;;2.048;Concepcion;20101028
101029;0;;;2.048;Concepcion;20101029
101030;0;;;2.048;Concepcion;20101030
101031;0;;;2.048;Concepcion;20101031
101101;0;;;2.048;Concepcion;20101101
101102;0;;;2.048;Concepcion;20101102
101103;0;;;2.048;Concepcion;20101103
101104;0;;;2.048;Concepcion;20101104
101105;0;;;2.048;Concepcion;20101105
101106;0;;;24.24;Concepcion;20101106
101107;0;;;11.95;Concepcion;20101107
101108;0;;;6.144;Concepcion;20101108
101109;0;;;2.731;Concepcion;20101109
101110;0;;;5.12;Concepcion;20101110
101111;0;;;7.50999;Concepcion;20101111
101112;0;;;7.851;Concepcion;20101112
101113;0;;;8.87999;Concepcion;20101113
101114;0;;;9.21999;Concepcion;20101114
101115;0;;;10.41;Concepcion;20101115
101116;0;;;16.04;Concepcion;20101116
101117;0;;;9.21999;Concepcion;20101117
101118;0;;;9.73;Concepcion;20101118
101119;0;;;7.67999;Concepcion;20101119
101120;0;;;3.755;Concepcion;20101120
101121;0;;;2.048;Concepcion;20101121
101122;0;;;2.048;Concepcion;20101122
101123;0;;;2.389;Concepcion;20101123
101124;0;;;9.39;Concepcion;20101124
101125;0;;;8.87999;Concepcion;20101125
101126;0;;;10.41;Concepcion;20101126
101127;0;;;11.26;Concepcion;20101127
101128;0;;;37.89;Concepcion;20101128
101129;0;;;7.339;Concepcion;20101129
101130;0;;;9.56;Concepcion;20101130
101201;0;;;3.072;Concepcion;20101201
101202;0;;;8.87999;Concepcion;20101202
101203;0;;;2.731;Concepcion;20101203
101204;0;;;6.144;Concepcion;20101204
101205;0;;;8.18999;Concepcion;20101205
101206;0;;;3.072;Concepcion;20101206
101207;0;;;3.072;Concepcion;20101207
101208;0;;;484.4;Concepcion;20101208
101209;0;;;3.072;Concepcion;20101209
101210;0;;;;Concepcion;20101210
101211;0;;;;Concepcion;20101211
101212;0;;;;Concepcion;20101212
101213;0;;;;Concepcion;20101213
101214;0;;;;Concepcion;20101214
101215;0;;;;Concepcion;20101215
101216;0;;;;Concepcion;20101216
101217;0;;;;Concepcion;20101217
101218;0;;;;Concepcion;20101218
101219;0;;;;Concepcion;20101219
101220;0;;;;Concepcion;20101220
101221;0;;;;Concepcion;20101221
101222;0;;;;Concepcion;20101222
101223;0;;;;Concepcion;20101223
101224;0;;;;Concepcion;20101224
101225;0;;;;Concepcion;20101225
101226;0;;;;Concepcion;20101226
101227;0;;;;Concepcion;20101227
101228;0;;;;Concepcion;20101228
101229;0;;;;Concepcion;20101229
101230;0;;;;Concepcion;20101230
101231;0;;;;Concepcion;20101231
110101;0;;;;Concepcion;20110101
110102;0;;;;Concepcion;20110102
110103;0;;;;Concepcion;20110103
110104;0;;;;Concepcion;20110104
110105;0;;;;Concepcion;20110105
110106;0;;;;Concepcion;20110106
110107;0;;;;Concepcion;20110107
110108;0;;;;Concepcion;20110108
110109;0;;;;Concepcion;20110109
110110;0;;;;Concepcion;20110110
110111;0;;;;Concepcion;20110111
110112;0;;;;Concepcion;20110112
110113;0;;;;Concepcion;20110113
110114;0;;;;Concepcion;20110114
110115;0;;;;Concepcion;20110115
110116;0;;;;Concepcion;20110116
110117;0;;;;Concepcion;20110117
110118;0;;;;Concepcion;20110118
110119;0;;;;Concepcion;20110119
110120;0;;;;Concepcion;20110120
110121;0;;;;Concepcion;20110121
110122;0;;;;Concepcion;20110122
110123;0;;;;Concepcion;20110123
110124;0;;;;Concepcion;20110124
110125;0;;;;Concepcion;20110125
110126;0;;;;Concepcion;20110126
110127;0;;;;Concepcion;20110127
110128;0;;;;Concepcion;20110128
110129;0;;;;Concepcion;20110129
110130;0;;;;Concepcion;20110130
110131;0;;;;Concepcion;20110131
110201;0;;;;Concepcion;20110201
110202;0;;;;Concepcion;20110202
110203;0;;;;Concepcion;20110203
110204;0;;;;Concepcion;20110204
110205;0;;;;Concepcion;20110205
110206;0;;;;Concepcion;20110206
110207;0;;;;Concepcion;20110207
110208;0;;;;Concepcion;20110208
110209;0;;;;Concepcion;20110209
110210;0;;;;Concepcion;20110210
110211;0;;;;Concepcion;20110211
110212;0;;;;Concepcion;20110212
110213;0;;;;Concepcion;20110213
110214;0;;;;Concepcion;20110214
110215;0;;;;Concepcion;20110215
110216;0;;;;Concepcion;20110216
110217;0;;;;Concepcion;20110217
110218;0;;;;Concepcion;20110218
110219;0;;;;Concepcion;20110219
110220;0;;;;Concepcion;20110220
110221;0;;;;Concepcion;20110221
110222;0;;;;Concepcion;20110222
110223;0;;;;Concepcion;20110223
110224;0;;;;Concepcion;20110224
110225;0;;;;Concepcion;20110225
110226;0;;;;Concepcion;20110226
110227;0;;;;Concepcion;20110227
110228;0;;;;Concepcion;20110228
110301;0;;;;Concepcion;20110301
110302;0;;;;Concepcion;20110302
110303;0;;;;Concepcion;20110303
110304;0;;;;Concepcion;20110304
110305;0;;;;Concepcion;20110305
110306;0;;;;Concepcion;20110306
110307;0;;;;Concepcion;20110307
110308;0;;;;Concepcion;20110308
110309;0;;;;Concepcion;20110309
110310;0;;;;Concepcion;20110310
110311;0;;;;Concepcion;20110311
110312;0;;;;Concepcion;20110312
110313;0;;;;Concepcion;20110313
110314;0;;;;Concepcion;20110314
110315;0;;;;Concepcion;20110315
110316;0;;;;Concepcion;20110316
110317;0;;;;Concepcion;20110317
110318;0;;;7.462;Concepcion;20110318
110319;0;;;;Concepcion;20110319
110320;0;;;0.044;Concepcion;20110320
110321;0;;;14.39;Concepcion;20110321
110322;0;;;9.7;Concepcion;20110322
110323;0;;;2.751;Concepcion;20110323
110324;0;;;3.554;Concepcion;20110324
110325;0;;;9.73999;Concepcion;20110325
110326;0;;;14.38;Concepcion;20110326
110327;0;;;12.01;Concepcion;20110327
110328;0;;;9.23999;Concepcion;20110328
110329;0;;;10.12;Concepcion;20110329
110330;0;;;14.78;Concepcion;20110330
110331;0;;;15.04;Concepcion;20110331
110401;0;;;13.48;Concepcion;20110401
110402;0;;;;Concepcion;20110402
110403;0;;;13.42;Concepcion;20110403
110404;0;;;0.0459999;Concepcion;20110404
110405;0;;;10.34;Concepcion;20110405
110406;0;;;10.69;Concepcion;20110406
110407;0;;;9.76999;Concepcion;20110407
110408;0;;;13.08;Concepcion;20110408
110409;0;;;;Concepcion;20110409
110410;0;;;19.12;Concepcion;20110410
110411;0;;;17.07;Concepcion;20110411
110412;0;;;14.11;Concepcion;20110412
110413;0;;;17.6;Concepcion;20110413
110414;0;;;6.546;Concepcion;20110414
110415;0;;;6.378;Concepcion;20110415
110416;0;;;;Concepcion;20110416
110417;0;;;12.07;Concepcion;20110417
110418;0;;;18.95;Concepcion;20110418
110419;0;;;13.21;Concepcion;20110419
110420;0;;;21.31;Concepcion;20110420
110421;0;;;24.45;Concepcion;20110421
110422;0;;;26.72;Concepcion;20110422
110423;0;;;8.81;Concepcion;20110423
110424;0;;;7.697;Concepcion;20110424
110425;0;;;15.51;Concepcion;20110425
110426;0;;;20.41;Concepcion;20110426
110427;0;;;19.12;Concepcion;20110427
110428;0;;;28.49;Concepcion;20110428
110429;0;;;14.36;Concepcion;20110429
110430;0;;;27.74;Concepcion;20110430
110501;0;;;42.78;Concepcion;20110501
110502;0;;;56.11;Concepcion;20110502
110503;0;;;39.91;Concepcion;20110503
110504;0;;;51.02;Concepcion;20110504
110505;0;;;64.84;Concepcion;20110505
110506;0;;;48.83;Concepcion;20110506
110507;0;;;;Concepcion;20110507
110508;0;;;60.95;Concepcion;20110508
110509;0;;;64.11;Concepcion;20110509
110510;0;;;64.8097;Concepcion;20110510
110511;0;;;38.31;Concepcion;20110511
110512;0;;;15.59;Concepcion;20110512
110513;0;;;26.76;Concepcion;20110513
110514;0;;;;Concepcion;20110514
110515;0;;;72.3197;Concepcion;20110515
110516;0;;;51.28;Concepcion;20110516
110517;0;;;24.28;Concepcion;20110517
110518;0;;;51.8199;Concepcion;20110518
110519;0;;;36.96;Concepcion;20110519
110520;0;;;26;Concepcion;20110520
110521;0;;;;Concepcion;20110521
110522;0;;;0.05;Concepcion;20110522
110523;0;;;54.58;Concepcion;20110523
110524;0;;;58.05;Concepcion;20110524
110525;0;;;81.2;Concepcion;20110525
110526;0;;;48.37;Concepcion;20110526
110527;0;;;51.8199;Concepcion;20110527
110528;0;;;31.19;Concepcion;20110528
110529;0;;;27.61;Concepcion;20110529
110530;0;;;94.9247;Concepcion;20110530
110531;0;;;78.46;Concepcion;20110531
110601;0;;;41.87;Concepcion;20110601
110602;0;;;59.24;Concepcion;20110602
110603;0;;;27.44;Concepcion;20110603
110604;0;;;;Concepcion;20110604
110605;0;;;41;Concepcion;20110605
110606;0;;;16.47;Concepcion;20110606
110607;0;;;12.45;Concepcion;20110607
110608;0;;;140.2;Concepcion;20110608
110609;0;;;27.91;Concepcion;20110609
110610;0;;;10.49;Concepcion;20110610
110611;0;;;30.26;Concepcion;20110611
110612;0;;;14.51;Concepcion;20110612
110613;0;;;3.38;Concepcion;20110613
110614;0;;;11.76;Concepcion;20110614
110615;0;;;46.95;Concepcion;20110615
110616;0;;;59.16;Concepcion;20110616
